**************** bmn_run479211_raw Chamber 1 primary equalization *******************************

Chamber #1 preliminary channel offsets (average is 4162.954590)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = 54.045410
   strip 2 time shift (left+right)/2 = 0.000000
   strip 3 time shift (left+right)/2 = 0.000000
   strip 4 time shift (left+right)/2 = 10.045410
   strip 5 time shift (left+right)/2 = 42.045410
   strip 6 time shift (left+right)/2 = 60.045410
   strip 7 time shift (left+right)/2 = 18.045410
   strip 8 time shift (left+right)/2 = -7.954590
   strip 9 time shift (left+right)/2 = 10.045410
   strip 10 time shift (left+right)/2 = 0.000000
   strip 11 time shift (left+right)/2 = -37.954590
   strip 12 time shift (left+right)/2 = -39.954590
   strip 13 time shift (left+right)/2 = -43.954590
   strip 14 time shift (left+right)/2 = -13.954590
   strip 15 time shift (left+right)/2 = -35.954590
   strip 16 time shift (left+right)/2 = -37.954590
   strip 17 time shift (left+right)/2 = 0.000000
   strip 18 time shift (left+right)/2 = 6.045410
   strip 19 time shift (left+right)/2 = -23.954590
   strip 20 time shift (left+right)/2 = 0.000000
   strip 21 time shift (left+right)/2 = 0.000000
   strip 22 time shift (left+right)/2 = 9.045410
   strip 23 time shift (left+right)/2 = -29.954590
   strip 24 time shift (left+right)/2 = 0.000000
   strip 25 time shift (left+right)/2 = 12.045410
   strip 26 time shift (left+right)/2 = 0.000000
   strip 27 time shift (left+right)/2 = 0.000000
   strip 28 time shift (left+right)/2 = -9.954590
   strip 29 time shift (left+right)/2 = -1.954590
   strip 30 time shift (left+right)/2 = 6.045410
   strip 31 time shift (left+right)/2 = 56.045410
**************** bmn_run479211_raw Chamber 2 primary equalization *******************************

Chamber #2 preliminary channel offsets (average is 6313.482910)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = 29.517090
   strip 2 time shift (left+right)/2 = 33.517090
   strip 3 time shift (left+right)/2 = 51.517090
   strip 4 time shift (left+right)/2 = 11.517090
   strip 5 time shift (left+right)/2 = -42.482910
   strip 6 time shift (left+right)/2 = -40.482910
   strip 7 time shift (left+right)/2 = -22.482910
   strip 8 time shift (left+right)/2 = 0.000000
   strip 9 time shift (left+right)/2 = 9.517090
   strip 10 time shift (left+right)/2 = 19.517090
   strip 11 time shift (left+right)/2 = -16.482910
   strip 12 time shift (left+right)/2 = -10.482910
   strip 13 time shift (left+right)/2 = -28.482910
   strip 14 time shift (left+right)/2 = 1.517090
   strip 15 time shift (left+right)/2 = 14.517090
   strip 16 time shift (left+right)/2 = 21.517090
   strip 17 time shift (left+right)/2 = -14.482910
   strip 18 time shift (left+right)/2 = -48.482910
   strip 19 time shift (left+right)/2 = -22.482910
   strip 20 time shift (left+right)/2 = -44.482910
   strip 21 time shift (left+right)/2 = -42.482910
   strip 22 time shift (left+right)/2 = 23.517090
   strip 23 time shift (left+right)/2 = -2.482910
   strip 24 time shift (left+right)/2 = 0.000000
   strip 25 time shift (left+right)/2 = 12.517090
   strip 26 time shift (left+right)/2 = 4.517090
   strip 27 time shift (left+right)/2 = 45.517090
   strip 28 time shift (left+right)/2 = 41.517090
   strip 29 time shift (left+right)/2 = -20.482910
   strip 30 time shift (left+right)/2 = 47.517090
   strip 31 time shift (left+right)/2 = -11.482910
**************** bmn_run479211_raw Chamber 3 primary equalization *******************************

Chamber #3 preliminary channel offsets (average is 4243.259277)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = -18.259277
   strip 2 time shift (left+right)/2 = -4.259277
   strip 3 time shift (left+right)/2 = -17.259277
   strip 4 time shift (left+right)/2 = -8.259277
   strip 5 time shift (left+right)/2 = 1.740723
   strip 6 time shift (left+right)/2 = 0.000000
   strip 7 time shift (left+right)/2 = -0.259277
   strip 8 time shift (left+right)/2 = 5.740723
   strip 9 time shift (left+right)/2 = -44.259277
   strip 10 time shift (left+right)/2 = -18.259277
   strip 11 time shift (left+right)/2 = -12.259277
   strip 12 time shift (left+right)/2 = -38.259277
   strip 13 time shift (left+right)/2 = -14.259277
   strip 14 time shift (left+right)/2 = 71.740723
   strip 15 time shift (left+right)/2 = 51.740723
   strip 16 time shift (left+right)/2 = 0.000000
   strip 17 time shift (left+right)/2 = 51.740723
   strip 18 time shift (left+right)/2 = -38.259277
   strip 19 time shift (left+right)/2 = -32.259277
   strip 20 time shift (left+right)/2 = -6.259277
   strip 21 time shift (left+right)/2 = 63.740723
   strip 22 time shift (left+right)/2 = -10.259277
   strip 23 time shift (left+right)/2 = -8.259277
   strip 24 time shift (left+right)/2 = 0.000000
   strip 25 time shift (left+right)/2 = 61.740723
   strip 26 time shift (left+right)/2 = -22.259277
   strip 27 time shift (left+right)/2 = -34.259277
   strip 28 time shift (left+right)/2 = 3.740723
   strip 29 time shift (left+right)/2 = 1.740723
   strip 30 time shift (left+right)/2 = 0.000000
   strip 31 time shift (left+right)/2 = 13.740723
**************** bmn_run479211_raw Chamber 4 primary equalization *******************************

Chamber #4 preliminary channel offsets (average is 5925.181641)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = 0.000000
   strip 2 time shift (left+right)/2 = -16.181641
   strip 3 time shift (left+right)/2 = 9.818359
   strip 4 time shift (left+right)/2 = 0.000000
   strip 5 time shift (left+right)/2 = 11.818359
   strip 6 time shift (left+right)/2 = 7.818359
   strip 7 time shift (left+right)/2 = 0.000000
   strip 8 time shift (left+right)/2 = -38.181641
   strip 9 time shift (left+right)/2 = 41.818359
   strip 10 time shift (left+right)/2 = -6.181641
   strip 11 time shift (left+right)/2 = -22.181641
   strip 12 time shift (left+right)/2 = -4.181641
   strip 13 time shift (left+right)/2 = 17.818359
   strip 14 time shift (left+right)/2 = 3.818359
   strip 15 time shift (left+right)/2 = -14.181641
   strip 16 time shift (left+right)/2 = 41.818359
   strip 17 time shift (left+right)/2 = -34.181641
   strip 18 time shift (left+right)/2 = 0.000000
   strip 19 time shift (left+right)/2 = 0.000000
   strip 20 time shift (left+right)/2 = 14.818359
   strip 21 time shift (left+right)/2 = 21.818359
   strip 22 time shift (left+right)/2 = 47.818359
   strip 23 time shift (left+right)/2 = 29.818359
   strip 24 time shift (left+right)/2 = -44.181641
   strip 25 time shift (left+right)/2 = -35.181641
   strip 26 time shift (left+right)/2 = -46.181641
   strip 27 time shift (left+right)/2 = 0.000000
   strip 28 time shift (left+right)/2 = 0.000000
   strip 29 time shift (left+right)/2 = 0.000000
   strip 30 time shift (left+right)/2 = 0.000000
   strip 31 time shift (left+right)/2 = 11.818359
**************** bmn_run479211_raw Chamber 5 primary equalization *******************************

Chamber #5 preliminary channel offsets (average is 9698.961914)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = -7.961914
   strip 2 time shift (left+right)/2 = 0.038086
   strip 3 time shift (left+right)/2 = -17.961914
   strip 4 time shift (left+right)/2 = 56.038086
   strip 5 time shift (left+right)/2 = 16.705078
   strip 6 time shift (left+right)/2 = -21.961914
   strip 7 time shift (left+right)/2 = 27.038086
   strip 8 time shift (left+right)/2 = 14.038086
   strip 9 time shift (left+right)/2 = 7.371094
   strip 10 time shift (left+right)/2 = 44.038086
   strip 11 time shift (left+right)/2 = -10.961914
   strip 12 time shift (left+right)/2 = 0.000000
   strip 13 time shift (left+right)/2 = -9.961914
   strip 14 time shift (left+right)/2 = 25.371094
   strip 15 time shift (left+right)/2 = 14.038086
   strip 16 time shift (left+right)/2 = 34.538086
   strip 17 time shift (left+right)/2 = -13.961914
   strip 18 time shift (left+right)/2 = 10.038086
   strip 19 time shift (left+right)/2 = -23.961914
   strip 20 time shift (left+right)/2 = -29.294922
   strip 21 time shift (left+right)/2 = -15.961914
   strip 22 time shift (left+right)/2 = 24.038086
   strip 23 time shift (left+right)/2 = -10.961914
   strip 24 time shift (left+right)/2 = 8.038086
   strip 25 time shift (left+right)/2 = -26.961914
   strip 26 time shift (left+right)/2 = -1.961914
   strip 27 time shift (left+right)/2 = -19.961914
   strip 28 time shift (left+right)/2 = -12.961914
   strip 29 time shift (left+right)/2 = -8.628906
   strip 30 time shift (left+right)/2 = -29.961914
   strip 31 time shift (left+right)/2 = -17.961914
**************** bmn_run479211_raw Chamber 6 primary equalization *******************************

Chamber #6 preliminary channel offsets (average is 8271.900391)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = 23.099609
   strip 2 time shift (left+right)/2 = -28.900391
   strip 3 time shift (left+right)/2 = -33.567383
   strip 4 time shift (left+right)/2 = -18.900391
   strip 5 time shift (left+right)/2 = -38.900391
   strip 6 time shift (left+right)/2 = -8.900391
   strip 7 time shift (left+right)/2 = 53.766602
   strip 8 time shift (left+right)/2 = -24.900391
   strip 9 time shift (left+right)/2 = -2.900391
   strip 10 time shift (left+right)/2 = 57.099609
   strip 11 time shift (left+right)/2 = 17.099609
   strip 12 time shift (left+right)/2 = 43.099609
   strip 13 time shift (left+right)/2 = -28.900391
   strip 14 time shift (left+right)/2 = -4.900391
   strip 15 time shift (left+right)/2 = 0.000000
   strip 16 time shift (left+right)/2 = 19.099609
